,k,time,tst_accuracy,tst_f1,tp,fn,tn,fp
0,2,0.46320366859436035,0.9875730994152047,0.5405405405405406,10,10,1341,7
1,10,0.5460367202758789,0.9897660818713451,0.6111111111111112,11,9,1343,5
2,50,0.6021738052368164,0.993421052631579,0.7692307692307693,15,5,1344,4
3,100,0.6041038036346436,0.9956140350877193,0.8421052631578947,16,4,1346,2
4,200,0.674964189529419,0.9948830409356725,0.8108108108108109,15,5,1346,2
5,300,0.6949367523193359,0.9941520467836257,0.7894736842105263,15,5,1345,3
6,400,0.7153656482696533,0.9941520467836257,0.8,16,4,1344,4
7,500,0.7468960285186768,0.9941520467836257,0.8,16,4,1344,4
