,h,kernel_type,time,cutoff,tst_accuracy,tst_f1,tp,fn,tn,fp
36,1.0,epanechnikov,6.135421276092529,100,0.9853801169590644,0.0,0,20,1348,0
37,1.0,epanechnikov,6.135421276092529,200,0.9853801169590644,0.0,0,20,1348,0
38,1.0,epanechnikov,6.135421276092529,300,0.9853801169590644,0.0,0,20,1348,0
39,1.0,epanechnikov,6.135421276092529,400,0.9853801169590644,0.0,0,20,1348,0
40,1.0,exponential,10.203715801239014,50,0.9736842105263158,0.4857142857142857,17,3,1315,33
41,1.0,exponential,10.203715801239014,100,0.9371345029239766,0.2833333333333333,17,3,1265,83
42,1.0,exponential,10.203715801239014,200,0.8640350877192983,0.15454545454545454,17,3,1165,183
43,1.0,exponential,10.203715801239014,300,0.7909356725146199,0.10625,17,3,1065,283
44,1.0,exponential,10.203715801239014,400,0.7178362573099415,0.08095238095238096,17,3,965,383
45,1.0,linear,6.059959650039673,50,0.9853801169590644,0.0,0,20,1348,0
46,1.0,linear,6.059959650039673,100,0.9853801169590644,0.0,0,20,1348,0
47,1.0,linear,6.059959650039673,200,0.9853801169590644,0.0,0,20,1348,0
48,1.0,linear,6.059959650039673,300,0.9853801169590644,0.0,0,20,1348,0
49,1.0,linear,6.059959650039673,400,0.9853801169590644,0.0,0,20,1348,0
50,10.0,gaussian,10.856710433959961,50,0.9736842105263158,0.4857142857142857,17,3,1315,33
51,10.0,gaussian,10.856710433959961,100,0.9371345029239766,0.2833333333333333,17,3,1265,83
52,10.0,gaussian,10.856710433959961,200,0.8640350877192983,0.15454545454545454,17,3,1165,183
53,10.0,gaussian,10.856710433959961,300,0.7909356725146199,0.10625,17,3,1065,283
54,10.0,gaussian,10.856710433959961,400,0.7178362573099415,0.08095238095238096,17,3,965,383
55,10.0,tophat,7.854635715484619,50,0.9853801169590644,0.0,0,20,1348,0
56,10.0,tophat,7.854635715484619,100,0.9853801169590644,0.0,0,20,1348,0
